cat,soc,job,elm,val,mhr,myr
Management,11-1011,Chief Executives,Realistic,1.33,91.15,189600
Management,11-1011,Chief Executives,Investigative,2,91.15,189600
Management,11-1011,Chief Executives,Artistic,2.67,91.15,189600
Management,11-1011,Chief Executives,Social,3.67,91.15,189600
Management,11-1011,Chief Executives,Enterprising,7,91.15,189600
Management,11-1011,Chief Executives,Conventional,5.33,91.15,189600
Management,11-1021,General and Operations Managers,Realistic,1.33,48.52,100930
Management,11-1021,General and Operations Managers,Investigative,1.33,48.52,100930
Management,11-1021,General and Operations Managers,Artistic,1,48.52,100930
Management,11-1021,General and Operations Managers,Social,3.33,48.52,100930
Management,11-1021,General and Operations Managers,Enterprising,7,48.52,100930
Management,11-1021,General and Operations Managers,Conventional,3.67,48.52,100930
Management,11-2011,Advertising and Promotions Managers,Realistic,1.67,56.31,117130
Management,11-2011,Advertising and Promotions Managers,Investigative,2,56.31,117130
Management,11-2011,Advertising and Promotions Managers,Artistic,5.33,56.31,117130
Management,11-2011,Advertising and Promotions Managers,Social,2.33,56.31,117130
Management,11-2011,Advertising and Promotions Managers,Enterprising,7,56.31,117130
Management,11-2011,Advertising and Promotions Managers,Conventional,4.67,56.31,117130
Management,11-2021,Marketing Managers,Realistic,1,64.56,134290
Management,11-2021,Marketing Managers,Investigative,2.33,64.56,134290
Management,11-2021,Marketing Managers,Artistic,3.67,64.56,134290
Management,11-2021,Marketing Managers,Social,2.67,64.56,134290
Management,11-2021,Marketing Managers,Enterprising,7,64.56,134290
Management,11-2021,Marketing Managers,Conventional,5.33,64.56,134290
Management,11-2022,Sales Managers,Realistic,3,59.72,124220
Management,11-2022,Sales Managers,Investigative,2,59.72,124220
Management,11-2022,Sales Managers,Artistic,2,59.72,124220
Management,11-2022,Sales Managers,Social,3.67,59.72,124220
Management,11-2022,Sales Managers,Enterprising,7,59.72,124220
Management,11-2022,Sales Managers,Conventional,4.67,59.72,124220
Management,11-2031,Public Relations and Fundraising Managers,Realistic,1.33,55.19,114800
Management,11-2031,Public Relations and Fundraising Managers,Investigative,1.33,55.19,114800
Management,11-2031,Public Relations and Fundraising Managers,Artistic,5,55.19,114800
Management,11-2031,Public Relations and Fundraising Managers,Social,3.67,55.19,114800
Management,11-2031,Public Relations and Fundraising Managers,Enterprising,7,55.19,114800
Management,11-2031,Public Relations and Fundraising Managers,Conventional,3.67,55.19,114800
Management,11-3011,Administrative Services Managers,Realistic,2,46.24,96180
Management,11-3011,Administrative Services Managers,Investigative,2.33,46.24,96180
Management,11-3011,Administrative Services Managers,Artistic,1,46.24,96180
Management,11-3011,Administrative Services Managers,Social,2.67,46.24,96180
Management,11-3011,Administrative Services Managers,Enterprising,7,46.24,96180
Management,11-3011,Administrative Services Managers,Conventional,5.33,46.24,96180
Management,11-3021,Computer and Information Systems Managers,Realistic,4,68.53,142530
Management,11-3021,Computer and Information Systems Managers,Investigative,4.33,68.53,142530
Management,11-3021,Computer and Information Systems Managers,Artistic,1.67,68.53,142530
Management,11-3021,Computer and Information Systems Managers,Social,1.67,68.53,142530
Management,11-3021,Computer and Information Systems Managers,Enterprising,6.67,68.53,142530
Management,11-3021,Computer and Information Systems Managers,Conventional,5.33,68.53,142530
Management,11-3051,Industrial Production Managers,Realistic,2.67,49.7,103380
Management,11-3051,Industrial Production Managers,Investigative,2.33,49.7,103380
